StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
117555,117921,224115,,,,,23.91809834,70.75466402,10000000,-3.85,-2.14,,9.01,-5.99,A,0.229,3295380.27011,-70669.75341,9441158.54444,0,0,0
117556,117923,240442,,,,,23.91823202,57.08521640,146.627565982405,-30.18,-7.06,,8.95,3.1189218732824,F5,0.415,79.65785,-1.70548,123.09086,3.752e-06,-2.1537e-05,-2.726e-06
117557,117924,224105,,,,,23.9186075,-08.44146903,224.215246636771,-14.13,2.01,,9.29,2.53667429356071,G0,0.540,221.73582,-4.72557,-32.91457,-6e-09,-1.5361e-05,2.161e-06
117558,117925,224100,,,,,23.91870217,47.72855382,361.01083032491,36.16,-8.92,,6.97,-0.817601154677757,K0,1.329,242.7767,-5.16797,267.13588,1.2895e-05,6.3022e-05,-1.05e-05
117559,117926,224104,,,,,23.91881237,-04.66804645,598.802395209581,-2.21,-10.54,,7.83,-1.05641764426208,K0,1.443,596.68131,-12.68429,-48.73214,-2.625e-06,-6.36e-06,-3.0494e-05
117560,117927,224103,9048,,26    Psc,,23.91882755,07.07101644,123.762376237624,21.77,-18.26,17,6.22,0.757056803872931,B9V,-0.066,122.79334,-2.60986,15.23508,1.8876e-05,1.2662e-05,-8.731e-06
117561,117928,,,,,,23.91954867,72.46029127,1562.5,-0.76,-3.83,,8.95,-2.01910013008056,B5,0.125,470.78102,-9.91711,1489.85674,2.7534e-05,-6.337e-06,-8.742e-06
117562,117930,224116,,,,,23.9208195,58.08891173,81.3669650122051,22.94,75.46,,7.38,2.82775941443227,K2IV,1.115,43.00155,-0.89152,69.06992,-2.5073e-05,9.57e-06,1.5733e-05
117563,117929,224108,,,,,23.92082329,-21.63267149,78.003120124805,187.55,-149.14,,9.85,5.38944012591399,G8V,0.746,72.4935,-1.50289,-28.75621,-1.9315e-05,7.1335e-05,-5.2423e-05
117564,117931,224113,9049,,,,23.92127073,-31.92146922,316.455696202532,17.66,0.84,-12,6.09,-1.41156458690798,B6/B7,-0.093,268.54219,-5.53578,-167.32797,-9.174e-06,2.7286e-05,7.583e-06
117565,117932,224112,9050,,,,23.92129922,-31.88427407,311.526479750779,17.81,1.58,1,6.84,-0.627474837975639,A,-0.080,264.46619,-5.44978,-164.54993,2.682e-06,2.6846e-05,1.485e-06
117566,117933,224118,,,,,23.9225453,03.23973048,383.141762452107,-4.74,-18.53,,8.30,0.383202536691406,K0,1.314,382.45078,-7.75624,21.65281,1.766e-06,-8.841e-06,-3.4361e-05
117567,117934,236246,,,,,23.92269573,50.87709552,236.406619385343,-8.04,10.45,,9.39,2.52170183687521,F5,0.439,149.13871,-3.01871,183.40289,-9.475e-06,-9.024e-06,7.556e-06
117568,117935,,,,,,23.92273905,47.17958873,234.192037470726,5.40,-4.92,,9.49,2.64213937512512,A0,0.112,159.14838,-3.21951,171.77699,4.22e-06,6.046e-06,-3.796e-06
117569,117936,224125,,,,,23.92278641,50.24218964,751.87969924812,5.76,-1.81,,8.31,-1.07074179516457,A0,0.034,480.76175,-9.71967,578.01102,5.495e-06,2.0887e-05,-4.219e-06
117570,117937,224119,,,,,23.92292097,-01.07929939,284.090909090909,-7.86,-14.45,,9.64,2.37271331739066,F5,0.441,283.98267,-5.73133,-5.35119,-5.93e-07,-1.0814e-05,-1.9896e-05
117571,117938,224127,,,,,23.92296296,32.89204289,436.681222707424,-12.12,-9.00,,7.38,-0.820822588300561,K0,1.307,366.60459,-7.39477,237.14316,9.826e-06,-2.586e-05,-1.5998e-05
117572,117939,224128,9051,,,,23.9230604,25.95501866,185.185185185185,1.47,-10.48,-15,6.52,0.181968799114843,K5,1.488,166.47324,-3.35368,81.04914,-9.647e-06,1.514e-06,-1.5173e-05
117573,117940,224121,,,,,23.92319507,-04.90158077,309.597523219814,0.89,12.83,,7.99,0.536012611655515,G5,1.060,308.40295,-6.20204,-26.45337,1.671e-06,1.302e-06,1.9185e-05
117574,117941,224124,,,,,23.92323339,-50.11390880,152.905198776758,-10.43,-3.13,,7.71,1.78788874162134,G8/K0III,1.011,98.0327,-1.97047,-117.32734,-1.935e-06,-7.693e-06,-1.487e-06
117575,117942,,,,,,23.92336197,39.35978048,136.798905608755,68.13,3.23,,9.54,3.8595868847893,F8,0.571,105.74874,-2.122,86.75621,-4.51e-07,4.5199e-05,1.656e-06
117576,117943,224123,,,,,23.92349459,-39.76395139,163.934426229508,34.24,8.05,,8.96,2.88664917505384,F5V,0.457,125.98884,-2.52377,-104.85675,4.636e-06,2.7123e-05,4.917e-06
117577,117944,224135,,,,,23.92377261,-17.82618673,62.4609618988132,10.59,76.34,,7.76,3.7819566595965,F7V,0.513,59.45034,-1.18656,-19.1212,7.138e-06,3.064e-06,2.2005e-05
117578,117945,,,,,,23.92385789,35.95535158,348.432055749129,-19.46,-10.51,,8.23,0.519409483669962,M0,1.601,281.99092,-5.62194,204.58349,9.766e-06,-3.3071e-05,-1.437e-05
117579,117946,224129,,,,,23.9240185,22.19364366,25.4129606099111,204.81,-148.28,,8.77,6.74472368347542,K0,1.020,23.52552,-0.46802,9.59944,7.4e-06,2.5089e-05,-1.6913e-05
117580,117947,240447,,,,,23.92403179,58.07916393,467.289719626168,-14.26,-3.86,,9.23,0.882068866745955,A3,0.316,247.02919,-4.91367,396.62591,6.777e-06,-3.2444e-05,-4.623e-06
117581,117948,224132,,,,,23.92438391,-11.95396362,127.877237851662,80.31,1.66,,9.08,3.54603376529924,G1V,0.592,125.07962,-2.47643,-26.48666,1.198e-06,4.9771e-05,1.006e-06
117582,117949,224134,,,,,23.92509025,-14.84515270,381.679389312977,35.67,-0.15,,9.52,1.61150645659873,F7/F8V,0.585,368.86866,-7.23493,-97.78915,1.223e-06,6.5987e-05,-2.68e-07
117583,117950,224133,,,,,23.92522343,-13.75280764,77.9423226812159,186.52,-56.47,,8.71,4.25113328187464,G1V,0.534,75.69324,-1.48199,-18.5295,-3.691e-06,7.056e-05,-2.0725e-05
117584,117951,224146,,,,,23.92543666,-27.43773740,319.488817891374,-0.68,-18.48,,9.40,1.87772168773224,K1III:,1.117,283.49616,-5.53473,-147.21547,-1.3206e-05,-7.95e-07,-2.5402e-05
117585,117952,224140,,,,,23.92558491,48.93470813,206.611570247934,36.18,14.58,,8.00,1.42422680822206,K2,1.220,135.70123,-2.64404,155.77716,-1.0302e-05,3.6445e-05,9.593e-06
117586,117953,224156,,,,,23.92570586,03.50216062,29.3341155764154,-208.10,-293.61,,7.72,5.38313500614446,G5,0.751,29.27379,-0.56945,1.7919,1.974e-06,-2.9636e-05,-4.1674e-05
117587,117954,224152,,,,,23.92571125,52.73553412,149.03129657228,64.16,19.31,,6.61,0.743612600844961,K0,1.202,90.22063,-1.7549,118.60643,-1.0199e-05,4.656e-05,8.447e-06
117588,117955,224150,,,,,23.92573621,59.41552515,224.215246636771,28.75,-1.29,,7.28,0.52667429356071,K0,1.134,114.06098,-2.21787,193.0224,1.814e-06,3.1219e-05,-7.13e-07
117589,117956,224165,9053,,,,23.92596801,47.35582163,495.049504950495,-10.83,-7.40,-17,6.01,-2.46324315276688,G8Ib,1.170,335.305,-6.49954,364.14601,7.8e-07,-2.601e-05,-2.4819e-05
117590,117957,224151,9052,,,,23.92606754,57.41216874,10000000,-3.13,-0.44,-26,6.03,-8.97,B0.5IIv SB,0.155,5384909.65501,-104240.52841,8425668.03995,0,0,0
117591,117958,224143,,,,,23.9263793,-20.95328368,39.2310710082385,8.17,19.76,,7.88,4.91184917734634,G3/G5V,0.640,36.63,-0.70608,-14.02929,1.373e-06,1.527e-06,3.509e-06
117592,117959,224145,,,,,23.92643786,-26.60236561,204.498977505112,23.16,17.77,,8.77,2.2165442956181,G8III/IV,0.990,182.81593,-3.5212,-91.57382,8.329e-06,2.2803e-05,1.5751e-05
117593,117960,224157,,,,,23.92663849,00.69583972,42.5531914893617,233.83,-2.61,,9.23,6.08533931135868,K0,0.861,42.5422,-0.81716,0.51678,9.32e-07,4.8226e-05,-5.38e-07
117594,117961,224147,,,,,23.92704654,-51.37405266,91.4076782449726,158.05,-85.33,,8.52,3.71508660998706,G5V,0.697,57.04932,-1.08972,-71.41113,-2.8196e-05,7.0586e-05,-2.3603e-05
117595,117962,224155,,,,,23.92713949,08.22329782,133.155792276964,15.48,-8.60,,6.84,1.21819968502084,A0,-0.015,131.76273,-2.51365,19.04545,9.84e-07,9.975e-06,-5.494e-06
117596,117963,224166,,,,,23.92720406,46.35832487,290.697674418605,9.32,-13.32,,6.94,-0.377207787142348,B9,-0.065,200.58743,-3.82324,210.3692,1.3831e-05,1.2872e-05,-1.2954e-05
117597,117964,224161,,,,,23.92721255,-10.79090016,148.588410104012,16.89,-14.71,,8.47,2.61007532111989,G5,0.919,145.93442,-2.78122,-27.81951,-1.751e-06,1.2201e-05,-1.0408e-05
117598,117965,,,,,,23.92764982,-33.16969557,59.9520383693046,293.76,30.17,,10.48,6.5909802315086,,1.136,50.17408,-0.95047,-32.80099,6.413e-06,8.5269e-05,7.339e-06
117599,117966,,,Gl 912,,,23.92779401,-06.14162219,17.2503018802829,-476.09,-391.03,,11.14,9.95601650185386,,1.465,17.14822,-0.3242,-1.84554,-4.25e-06,-3.9739e-05,-3.2512e-05
117600,117967,224163,,,,,23.92788624,-38.06635069,234.192037470726,-12.88,8.81,,8.36,1.51213937512512,K0III,1.040,184.34589,-3.48074,-144.39662,5.889e-06,-1.4736e-05,7.874e-06
117601,117968,224149,,,,,23.92789979,-60.97965826,10000000,18.07,-7.76,,8.86,-6.14,K2III,1.256,4850336.86729,-91564.8539,-8744475.29308,0,0,0
117602,117969,,,,,,23.92790962,16.58067979,10000000,23.66,-31.61,,11.10,-3.9,A0,0.046,9582481.65894,-180873.80387,2853652.03256,0,0,0
